input,base,bull,bear
wacc,0.085,0.078,0.095
terminal_growth,0.030,0.035,0.025
tax_rate,0.185,0.180,0.195
revenue_growth_2026,0.10,0.13,0.07
revenue_growth_2027,0.09,0.12,0.06
revenue_growth_2028,0.08,0.10,0.05
revenue_growth_2029,0.07,0.09,0.04
revenue_growth_2030,0.06,0.08,0.04
operating_margin_2026,0.370,0.380,0.350
operating_margin_2027,0.375,0.390,0.345
operating_margin_2028,0.380,0.400,0.340
operating_margin_2029,0.385,0.410,0.340
operating_margin_2030,0.390,0.415,0.340
d_and_a_pct_revenue,0.033,0.032,0.035
capex_pct_revenue,0.012,0.011,0.014
nwc_pct_revenue,-0.12,-0.13,-0.10
debt_change_per_year,-500,-800,-250
share_count_decline,0.015,0.020,0.005
